Sample_ID, Time, R, G, B


1,2025-04-01 13:09:16,83,112,126
1,2025-04-01 13:09:16,84,113,127
1,2025-04-01 13:09:17,89,116,130
1,2025-04-01 13:09:17,89,116,130
1,2025-04-01 13:09:17,89,115,129
1,2025-04-01 13:09:18,89,115,129
1,2025-04-01 13:09:18,88,115,129
1,2025-04-01 13:09:18,88,120,136
1,2025-04-01 13:09:19,89,121,138
1,2025-04-01 13:09:19,89,121,138
1,2025-04-01 13:09:20,89,121,137
1,2025-04-01 13:09:20,89,121,137
1,2025-04-01 13:09:21,90,122,139
1,2025-04-01 13:09:21,90,123,139
1,2025-04-01 13:09:22,91,123,139
1,2025-04-01 13:09:22,91,123,139
1,2025-04-01 13:09:22,91,123,139
1,2025-04-01 13:09:23,91,123,139
1,2025-04-01 13:09:23,91,123,139
1,2025-04-01 13:09:23,91,123,139
1,2025-04-01 13:09:24,92,123,139
1,2025-04-01 13:09:24,92,123,139
1,2025-04-01 13:09:25,92,123,139
1,2025-04-01 13:09:25,92,123,139
1,2025-04-01 13:09:26,92,123,139
1,2025-04-01 13:09:26,92,123,139
1,2025-04-01 13:09:27,93,123,139
1,2025-04-01 13:09:27,93,123,139
1,2025-04-01 13:09:27,93,123,139
1,2025-04-01 13:09:28,93,123,139
1,2025-04-01 13:09:28,94,123,139
1,2025-04-01 13:09:28,94,123,139
1,2025-04-01 13:09:29,94,123,139
1,2025-04-01 13:09:29,94,123,139
1,2025-04-01 13:09:30,95,123,140
1,2025-04-01 13:09:30,95,123,139
1,2025-04-01 13:09:31,95,123,139
1,2025-04-01 13:09:31,95,123,139
1,2025-04-01 13:09:31,96,123,140
1,2025-04-01 13:09:32,96,123,140
2,2025-04-01 13:10:03,41,113,136
2,2025-04-01 13:10:03,41,113,136
2,2025-04-01 13:10:04,41,113,136
2,2025-04-01 13:10:04,41,113,136
2,2025-04-01 13:10:05,41,112,135
2,2025-04-01 13:10:05,41,112,135
2,2025-04-01 13:10:05,41,112,135
2,2025-04-01 13:10:06,42,112,135
2,2025-04-01 13:10:06,42,113,136
2,2025-04-01 13:10:06,42,112,136
2,2025-04-01 13:10:07,43,113,136
2,2025-04-01 13:10:07,43,113,136
2,2025-04-01 13:10:08,43,113,135
2,2025-04-01 13:10:08,43,113,135
2,2025-04-01 13:10:09,44,113,135
2,2025-04-01 13:10:09,44,113,135
2,2025-04-01 13:10:10,45,113,135
2,2025-04-01 13:10:10,45,113,135
2,2025-04-01 13:10:10,46,113,135
2,2025-04-01 13:10:11,47,113,135
2,2025-04-01 13:10:11,48,113,136
2,2025-04-01 13:10:11,49,113,136
2,2025-04-01 13:10:12,50,113,136
2,2025-04-01 13:10:12,51,114,136
2,2025-04-01 13:10:13,52,114,136
2,2025-04-01 13:10:13,53,114,136
2,2025-04-01 13:10:14,56,114,136
2,2025-04-01 13:10:14,56,114,136
2,2025-04-01 13:10:15,59,115,136
2,2025-04-01 13:10:15,60,115,136
2,2025-04-01 13:10:15,64,116,136
2,2025-04-01 13:10:16,65,116,136
2,2025-04-01 13:10:16,69,117,136
2,2025-04-01 13:10:16,71,117,136
2,2025-04-01 13:10:17,76,118,136
2,2025-04-01 13:10:17,78,118,137
2,2025-04-01 13:10:18,83,119,137
2,2025-04-01 13:10:18,85,120,137
2,2025-04-01 13:10:19,91,121,137
2,2025-04-01 13:10:19,92,121,137
2,2025-04-01 13:10:19,98,122,137
2,2025-04-01 13:10:20,100,123,137
3,2025-04-01 13:10:52,15,96,133
3,2025-04-01 13:10:52,14,96,133
3,2025-04-01 13:10:52,15,96,133
3,2025-04-01 13:10:53,15,96,133
3,2025-04-01 13:10:53,15,95,133
3,2025-04-01 13:10:54,15,96,133
3,2025-04-01 13:10:54,15,96,133
3,2025-04-01 13:10:54,16,96,133
3,2025-04-01 13:10:55,16,96,133
3,2025-04-01 13:10:55,16,96,133
3,2025-04-01 13:10:56,17,96,133
3,2025-04-01 13:10:56,18,96,132
3,2025-04-01 13:10:57,18,96,132
3,2025-04-01 13:10:57,19,97,133
3,2025-04-01 13:10:57,21,98,134
3,2025-04-01 13:10:58,22,98,134
3,2025-04-01 13:10:58,25,99,134
3,2025-04-01 13:10:58,26,99,134
3,2025-04-01 13:10:59,30,100,134
3,2025-04-01 13:10:59,31,101,134
3,2025-04-01 13:11:00,37,102,135
3,2025-04-01 13:11:00,38,103,135
3,2025-04-01 13:11:01,45,104,135
3,2025-04-01 13:11:01,48,105,135
3,2025-04-01 13:11:02,56,106,136
3,2025-04-01 13:11:02,58,107,136
3,2025-04-01 13:11:02,63,105,133
3,2025-04-01 13:11:03,66,106,133
3,2025-04-01 13:11:03,75,109,134
3,2025-04-01 13:11:03,78,109,134
3,2025-04-01 13:11:04,86,112,135
3,2025-04-01 13:11:04,88,113,135
3,2025-04-01 13:11:05,95,115,136
3,2025-04-01 13:11:05,97,116,136
3,2025-04-01 13:11:06,99,115,133
3,2025-04-01 13:11:06,100,116,133
3,2025-04-01 13:11:07,105,119,134
3,2025-04-01 13:11:07,106,119,134
