Sample_ID, Time, R, G, B
0,2025-04-01 13:28:55,27,94,132
0,2025-04-01 13:28:55,26,94,132
0,2025-04-01 13:28:56,27,94,132
0,2025-04-01 13:28:56,27,94,133
0,2025-04-01 13:28:56,26,94,132
0,2025-04-01 13:28:57,26,94,132
0,2025-04-01 13:28:57,26,94,132
0,2025-04-01 13:28:57,26,94,132
0,2025-04-01 13:28:58,27,94,132
0,2025-04-01 13:28:58,27,94,132
0,2025-04-01 13:28:59,27,94,132
0,2025-04-01 13:28:59,27,94,132
0,2025-04-01 13:29:00,27,94,132
0,2025-04-01 13:29:00,27,94,132
0,2025-04-01 13:29:00,27,94,132
0,2025-04-01 13:29:01,27,94,132
0,2025-04-01 13:29:01,27,94,132
0,2025-04-01 13:29:01,27,94,132
0,2025-04-01 13:29:02,28,94,132
0,2025-04-01 13:29:02,28,94,132
0,2025-04-01 13:29:03,28,94,132
0,2025-04-01 13:29:03,28,94,132
0,2025-04-01 13:29:04,28,94,132
0,2025-04-01 13:29:04,28,94,132
0,2025-04-01 13:29:05,28,94,132
0,2025-04-01 13:29:05,29,94,132
0,2025-04-01 13:29:05,29,94,132
0,2025-04-01 13:29:06,29,94,132
0,2025-04-01 13:29:06,29,94,132
0,2025-04-01 13:29:06,29,94,132
0,2025-04-01 13:29:07,30,94,132
0,2025-04-01 13:29:07,30,94,132
0,2025-04-01 13:29:08,30,94,132
0,2025-04-01 13:29:08,30,94,132
0,2025-04-01 13:29:09,31,94,132
0,2025-04-01 13:29:09,31,94,132
0,2025-04-01 13:29:09,32,95,132
0,2025-04-01 13:29:10,32,95,132
0,2025-04-01 13:29:10,33,95,132
0,2025-04-01 13:29:10,33,95,132
0,2025-04-01 13:29:11,34,95,132
0,2025-04-01 13:29:11,35,95,132
0,2025-04-01 13:29:12,36,95,132
0,2025-04-01 13:29:12,37,95,132
0,2025-04-01 13:29:13,39,96,132
0,2025-04-01 13:29:13,39,96,132
0,2025-04-01 13:29:14,42,96,132
0,2025-04-01 13:29:14,43,96,132
0,2025-04-01 13:29:14,46,97,132
0,2025-04-01 13:29:15,47,97,132
0,2025-04-01 13:29:15,51,98,132
0,2025-04-01 13:29:15,52,99,132
0,2025-04-01 13:29:16,56,100,132
0,2025-04-01 13:29:16,58,100,133
0,2025-04-01 13:29:17,63,101,133
0,2025-04-01 13:29:17,65,102,133
0,2025-04-01 13:29:18,70,103,133
0,2025-04-01 13:29:18,72,104,134
0,2025-04-01 13:29:18,78,106,134
0,2025-04-01 13:29:19,80,106,134
0,2025-04-01 13:29:19,85,108,135
0,2025-04-01 13:29:19,85,108,134
0,2025-04-01 13:29:20,89,108,132
0,2025-04-01 13:29:20,90,109,133
0,2025-04-01 13:29:21,95,111,134
0,2025-04-01 13:29:21,96,112,134
0,2025-04-01 13:29:22,100,114,135
0,2025-04-01 13:29:22,101,115,135
0,2025-04-01 13:29:23,104,118,136
0,2025-04-01 13:29:23,105,118,136
0,2025-04-01 13:29:23,104,117,133
0,2025-04-01 13:29:24,105,118,133
1,2025-04-01 13:29:58,146,43,50
1,2025-04-01 13:29:58,147,43,51
1,2025-04-01 13:29:59,147,43,51
1,2025-04-01 13:29:59,147,43,51
1,2025-04-01 13:30:00,146,43,51
1,2025-04-01 13:30:00,147,43,51
1,2025-04-01 13:30:00,147,43,52
1,2025-04-01 13:30:01,147,43,52
1,2025-04-01 13:30:01,147,43,52
1,2025-04-01 13:30:01,146,43,52
1,2025-04-01 13:30:02,146,43,52
1,2025-04-01 13:30:02,146,43,52
1,2025-04-01 13:30:03,146,43,52
1,2025-04-01 13:30:03,146,43,52
1,2025-04-01 13:30:04,146,43,52
1,2025-04-01 13:30:04,146,43,52
1,2025-04-01 13:30:04,146,43,52
1,2025-04-01 13:30:05,146,43,52
1,2025-04-01 13:30:05,146,43,52
1,2025-04-01 13:30:05,146,43,53
1,2025-04-01 13:30:06,146,43,53
1,2025-04-01 13:30:06,146,43,52
1,2025-04-01 13:30:07,146,43,52
1,2025-04-01 13:30:07,146,43,52
1,2025-04-01 13:30:08,146,43,53
1,2025-04-01 13:30:08,146,43,53
1,2025-04-01 13:30:09,146,43,53
1,2025-04-01 13:30:09,146,43,53
1,2025-04-01 13:30:09,146,43,53
1,2025-04-01 13:30:10,146,43,53
1,2025-04-01 13:30:10,146,43,53
1,2025-04-01 13:30:10,146,43,53
1,2025-04-01 13:30:11,146,43,53
1,2025-04-01 13:30:11,146,43,53
1,2025-04-01 13:30:12,146,43,53
1,2025-04-01 13:30:12,146,43,53
1,2025-04-01 13:30:13,146,43,53
1,2025-04-01 13:30:13,146,43,53
1,2025-04-01 13:30:13,146,43,53
1,2025-04-01 13:30:14,146,43,53
1,2025-04-01 13:30:14,146,43,53
1,2025-04-01 13:30:14,146,43,53
1,2025-04-01 13:30:15,146,43,53
1,2025-04-01 13:30:15,146,43,53
1,2025-04-01 13:30:16,146,43,53
1,2025-04-01 13:30:16,146,43,53
1,2025-04-01 13:30:17,146,43,54
1,2025-04-01 13:30:17,146,43,53
1,2025-04-01 13:30:18,146,43,53
1,2025-04-01 13:30:18,146,43,53
1,2025-04-01 13:30:18,146,43,53
1,2025-04-01 13:30:19,146,43,54
1,2025-04-01 13:30:19,146,43,54
1,2025-04-01 13:30:19,146,43,54
1,2025-04-01 13:30:20,146,43,54
1,2025-04-01 13:30:20,146,43,54
1,2025-04-01 13:30:21,146,43,54
1,2025-04-01 13:30:21,146,43,54
1,2025-04-01 13:30:22,146,43,54
1,2025-04-01 13:30:22,146,43,54
1,2025-04-01 13:30:22,146,43,54
1,2025-04-01 13:30:23,146,43,54
1,2025-04-01 13:30:23,146,43,54
1,2025-04-01 13:30:23,146,43,54
1,2025-04-01 13:30:24,146,43,54
1,2025-04-01 13:30:24,146,43,54
1,2025-04-01 13:30:25,146,43,54
1,2025-04-01 13:30:25,146,43,54
1,2025-04-01 13:30:26,146,43,54
1,2025-04-01 13:30:26,146,43,54
1,2025-04-01 13:30:26,146,43,54
1,2025-04-01 13:30:27,146,43,54
1,2025-04-01 13:30:27,146,43,54
1,2025-04-01 13:30:27,146,43,54
1,2025-04-01 13:30:28,146,43,54
1,2025-04-01 13:30:28,146,43,54
1,2025-04-01 13:30:29,146,43,54
1,2025-04-01 13:30:29,146,43,54
1,2025-04-01 13:30:30,146,43,54
1,2025-04-01 13:30:30,146,43,54
1,2025-04-01 13:30:31,146,43,54
1,2025-04-01 13:30:31,146,43,54
1,2025-04-01 13:30:31,146,43,54
1,2025-04-01 13:30:32,146,43,54
1,2025-04-01 13:30:32,147,43,54
1,2025-04-01 13:30:32,147,43,54
1,2025-04-01 13:30:33,147,43,54
1,2025-04-01 13:30:33,147,43,54
1,2025-04-01 13:30:34,147,43,54
1,2025-04-01 13:30:34,147,43,54
1,2025-04-01 13:30:35,146,43,53
1,2025-04-01 13:30:35,146,43,53
1,2025-04-01 13:30:35,146,43,53
1,2025-04-01 13:30:36,146,43,53
1,2025-04-01 13:30:36,147,43,54
1,2025-04-01 13:30:36,147,43,54
1,2025-04-01 13:30:37,146,43,54
1,2025-04-01 13:30:37,146,43,54
1,2025-04-01 13:30:38,146,43,54
1,2025-04-01 13:30:38,146,43,54
1,2025-04-01 13:30:39,146,43,54
1,2025-04-01 13:30:39,146,43,54
1,2025-04-01 13:30:40,146,43,54
1,2025-04-01 13:30:40,146,43,54
1,2025-04-01 13:30:40,146,43,54
1,2025-04-01 13:30:41,146,43,54
1,2025-04-01 13:30:41,146,43,54
1,2025-04-01 13:30:41,146,43,54
1,2025-04-01 13:30:42,146,43,54
1,2025-04-01 13:30:42,146,43,54
1,2025-04-01 13:30:43,146,43,54
1,2025-04-01 13:30:43,146,43,54
1,2025-04-01 13:30:44,146,43,54
1,2025-04-01 13:30:44,146,43,54
1,2025-04-01 13:30:44,146,43,54
1,2025-04-01 13:30:45,146,43,54
1,2025-04-01 13:30:45,146,43,54
1,2025-04-01 13:30:45,146,43,54
1,2025-04-01 13:30:46,146,43,54
1,2025-04-01 13:30:46,146,43,54
1,2025-04-01 13:30:47,147,43,54
1,2025-04-01 13:30:47,147,43,54
1,2025-04-01 13:30:48,146,43,54
1,2025-04-01 13:30:48,146,43,54
1,2025-04-01 13:30:48,147,43,54
1,2025-04-01 13:30:49,146,43,53
1,2025-04-01 13:30:49,145,42,53
1,2025-04-01 13:30:49,146,42,53
1,2025-04-01 13:30:50,146,43,54
1,2025-04-01 13:30:50,146,43,54
1,2025-04-01 13:30:51,138,36,46
1,2025-04-01 13:30:51,149,41,52
1,2025-04-01 13:30:52,115,117,118
1,2025-04-01 13:30:52,86,86,87
1,2025-04-01 13:30:53,113,114,114
1,2025-04-01 13:30:53,114,117,117
1,2025-04-01 13:34:13,143,22,14
1,2025-04-01 13:34:13,143,23,17
1,2025-04-01 13:34:14,144,23,18
1,2025-04-01 13:34:14,144,23,18
1,2025-04-01 13:34:15,143,23,17
1,2025-04-01 13:34:15,143,23,17
1,2025-04-01 13:34:15,143,23,17
1,2025-04-01 13:34:16,143,23,17
1,2025-04-01 13:34:16,143,23,17
1,2025-04-01 13:34:16,143,23,17
1,2025-04-01 13:34:17,143,23,17
1,2025-04-01 13:34:17,143,23,17
1,2025-04-01 13:34:18,143,23,17
1,2025-04-01 13:34:18,143,23,17
1,2025-04-01 13:34:19,143,23,17
1,2025-04-01 13:34:19,143,23,17
1,2025-04-01 13:34:20,143,23,17
1,2025-04-01 13:34:20,143,23,17
1,2025-04-01 13:34:20,143,23,17
1,2025-04-01 13:34:21,143,23,17
1,2025-04-01 13:34:21,143,23,17
1,2025-04-01 13:34:21,143,23,17
1,2025-04-01 13:34:22,143,23,17
1,2025-04-01 13:34:22,143,23,17
1,2025-04-01 13:34:23,143,23,17
1,2025-04-01 13:34:23,143,23,17
1,2025-04-01 13:34:24,143,23,17
1,2025-04-01 13:34:24,143,23,17
1,2025-04-01 13:34:24,143,23,17
1,2025-04-01 13:34:25,143,23,17
1,2025-04-01 13:34:25,143,23,17
1,2025-04-01 13:34:25,143,23,17
1,2025-04-01 13:34:26,143,23,17
1,2025-04-01 13:34:26,143,23,17
1,2025-04-01 13:34:27,143,23,17
1,2025-04-01 13:34:27,143,23,17
1,2025-04-01 13:34:28,143,23,17
1,2025-04-01 13:34:28,143,23,17
1,2025-04-01 13:34:29,143,23,17
1,2025-04-01 13:34:29,143,23,17
1,2025-04-01 13:34:29,143,23,17
1,2025-04-01 13:34:30,143,23,17
1,2025-04-01 13:34:30,143,23,17
1,2025-04-01 13:34:30,143,23,17
1,2025-04-01 13:34:31,143,23,17
1,2025-04-01 13:34:31,143,23,17
1,2025-04-01 13:34:32,143,23,17
1,2025-04-01 13:34:32,143,23,17
1,2025-04-01 13:34:33,143,23,17
1,2025-04-01 13:34:33,143,23,17
1,2025-04-01 13:34:33,143,23,17
1,2025-04-01 13:34:34,143,23,17
1,2025-04-01 13:34:34,143,23,17
1,2025-04-01 13:34:34,143,23,17
1,2025-04-01 13:34:35,143,23,17
1,2025-04-01 13:34:35,143,23,17
1,2025-04-01 13:34:36,143,23,17
1,2025-04-01 13:34:36,143,23,17
1,2025-04-01 13:34:37,143,23,17
1,2025-04-01 13:34:37,143,23,17
1,2025-04-01 13:34:38,143,23,17
1,2025-04-01 13:34:38,143,23,17
1,2025-04-01 13:34:38,143,23,17
1,2025-04-01 13:34:39,143,23,17
1,2025-04-01 13:34:39,143,23,17
1,2025-04-01 13:34:39,143,23,17
1,2025-04-01 13:34:40,143,23,17
1,2025-04-01 13:34:40,143,23,17
1,2025-04-01 13:34:41,143,23,17
