Sample_ID, Time, R, G, B
0,2025-04-01 13:51:53,42,91,133
0,2025-04-01 13:51:54,42,91,134
0,2025-04-01 13:51:54,44,92,134
0,2025-04-01 13:51:54,44,92,134
0,2025-04-01 13:51:55,43,91,133
0,2025-04-01 13:51:55,43,91,134
0,2025-04-01 13:51:56,43,91,134
0,2025-04-01 13:51:56,43,91,133
0,2025-04-01 13:51:57,43,91,133
0,2025-04-01 13:51:57,43,91,133
0,2025-04-01 13:51:57,43,91,133
0,2025-04-01 13:51:58,43,91,133
0,2025-04-01 13:51:58,43,91,133
0,2025-04-01 13:51:58,43,91,133
0,2025-04-01 13:51:59,43,91,133
0,2025-04-01 13:51:59,43,91,133
0,2025-04-01 13:52:00,43,91,133
0,2025-04-01 13:52:00,43,91,133
0,2025-04-01 13:52:01,43,91,133
0,2025-04-01 13:52:01,43,91,133
0,2025-04-01 13:52:02,43,91,133
0,2025-04-01 13:52:02,43,91,133
0,2025-04-01 13:52:02,44,91,133
0,2025-04-01 13:52:03,44,91,133
0,2025-04-01 13:52:03,44,91,133
0,2025-04-01 13:52:03,44,91,133
0,2025-04-01 13:52:04,44,91,133
0,2025-04-01 13:52:04,44,91,133
0,2025-04-01 13:52:05,44,91,133
0,2025-04-01 13:52:05,44,91,133
0,2025-04-01 13:52:06,44,91,133
0,2025-04-01 13:52:06,44,91,133
0,2025-04-01 13:52:06,44,91,133
0,2025-04-01 13:52:07,44,91,133
0,2025-04-01 13:52:07,45,91,133
0,2025-04-01 13:52:07,45,91,133
0,2025-04-01 13:52:08,45,91,133
0,2025-04-01 13:52:08,45,91,133
0,2025-04-01 13:52:09,45,91,133
0,2025-04-01 13:52:09,45,91,133
0,2025-04-01 13:52:10,45,91,133
0,2025-04-01 13:52:10,46,91,133
0,2025-04-01 13:52:11,46,91,133
0,2025-04-01 13:52:11,46,91,133
0,2025-04-01 13:52:11,46,91,133
0,2025-04-01 13:52:12,46,91,133
0,2025-04-01 13:52:12,46,91,133
0,2025-04-01 13:52:12,46,91,133
0,2025-04-01 13:52:13,47,91,133
0,2025-04-01 13:52:13,47,91,133
0,2025-04-01 13:52:14,47,91,133
0,2025-04-01 13:52:14,48,91,133
0,2025-04-01 13:52:15,48,91,133
0,2025-04-01 13:52:15,48,91,133
0,2025-04-01 13:52:15,49,91,133
0,2025-04-01 13:52:16,49,92,133
0,2025-04-01 13:52:16,50,92,133
0,2025-04-01 13:52:16,50,92,133
0,2025-04-01 13:52:17,51,92,133
0,2025-04-01 13:52:17,51,92,133
0,2025-04-01 13:52:18,52,92,133
0,2025-04-01 13:52:18,53,92,133
0,2025-04-01 13:52:19,54,93,133
0,2025-04-01 13:52:19,54,93,133
0,2025-04-01 13:52:20,56,93,133
0,2025-04-01 13:52:20,57,93,133
0,2025-04-01 13:52:20,58,93,133
0,2025-04-01 13:52:21,59,94,133
0,2025-04-01 13:52:21,61,94,134
0,2025-04-01 13:52:21,63,94,134
0,2025-04-01 13:52:22,65,95,134
0,2025-04-01 13:52:22,66,96,134
0,2025-04-01 13:52:23,69,96,134
0,2025-04-01 13:52:23,70,97,134
0,2025-04-01 13:52:24,74,98,135
0,2025-04-01 13:52:24,75,98,135
0,2025-04-01 13:52:24,79,100,135
0,2025-04-01 13:52:25,80,100,135
0,2025-04-01 13:52:25,84,102,135
0,2025-04-01 13:52:25,84,102,136
0,2025-04-01 13:52:26,88,104,136
0,2025-04-01 13:52:26,90,105,136
0,2025-04-01 13:52:27,93,107,137
0,2025-04-01 13:52:27,94,108,137
0,2025-04-01 13:52:28,97,110,138
0,2025-04-01 13:52:28,98,110,138
0,2025-04-01 13:52:28,98,110,136
0,2025-04-01 13:52:29,99,110,136
0,2025-04-01 13:52:29,101,113,137
0,2025-04-01 13:52:29,102,113,137
0,2025-04-01 13:52:30,104,116,138
0,2025-04-01 13:52:30,105,116,138
1,2025-04-01 13:53:09,55,108,136
1,2025-04-01 13:53:10,54,107,136
1,2025-04-01 13:53:10,55,108,136
1,2025-04-01 13:53:10,55,108,136
1,2025-04-01 13:53:11,54,107,135
1,2025-04-01 13:53:11,55,107,136
1,2025-04-01 13:53:12,55,107,135
